tweet_id,favorite_count,retweet_count
892420643555336193,38171,8350
892177421306343426,32735,6170
891815181378084864,24643,4082
891689557279858688,41500,8489
891327558926688256,39680,9187
891087950875897856,19924,3055
890971913173991426,11642,2028
890729181411237888,64404,18532
890609185150312448,27369,4197
890240255349198849,31417,7255
890006608113172480,30202,7206
889880896479866881,27368,4889
889665388333682689,47377,9877
889638837579907072,26748,4467
889531135344209921,14879,2206
889278841981685760,24858,5280
888917238123831296,28658,4414
888804989199671297,25170,4220
888554962724278272,19529,3489
888078434458587136,21428,3436
887705289381826560,29707,5291
887517139158093824,45573,11469
887473957103951883,68009,17855
887343217045368832,33168,10229
887101392804085760,30103,5865
886983233522544640,34612,7634
886736880519319552,11870,3224
886680336477933568,22095,4388
886366144734445568,20870,3145
886267009285017600,115,4
886258384151887873,27562,6179
886054160059072513,0,105
885984800019947520,32155,6676
885528943205470208,35432,6323
885518971528720385,20122,3696
885311592912609280,0,18251
885167619883638784,21591,4305
884925521741709313,76235,17978
884876753390489601,27502,5551
884562892145688576,23938,4648
884441805382717440,26577,5560
884247878851493888,71916,20133
884162670584377345,20053,2940
883838122936631299,21572,3388
883482846933004288,45214,9786
883360690899218434,22338,3640
883117836046086144,36629,6564
882992080364220416,23601,3859
882762694511734784,27884,4839
882627270321602560,27497,5991
882268110199369728,44290,11412
882045870035918850,28933,4891
881906580714921986,23960,3340
881666595344535552,49838,10500
881633300179243008,124,7
881536004380872706,48696,15696
881268444196462592,22747,5090
880935762899988482,16761,2740
880872448815771648,20956,3754
880465832366813184,28101,6175
880221127280381952,26656,4152
880095782870896641,27224,4291
879862464715927552,21991,3445
879674319642796034,307,10
879492040517615616,23078,3139
879415818425184262,104318,43535
879376492567855104,16532,3071
879130579576475649,0,6725
879050749262655488,22230,4651
879008229531029506,18705,2657
878776093423087618,19129,4072
878604707211726852,29836,7099
878404777348136964,0,1270
878316110768087041,0,6562
878281511006478336,7638,1270
878057613040115712,41426,6725
877736472329191424,78588,18827
877611172832227328,0,80
877556246731214848,22406,3758
877316821321428993,26994,5105
877201837425926144,26751,5515
876838120628539392,20400,3301
876537666061221889,23180,4574
876484053909872640,18504,2367
876120275196170240,27533,4636
875747767867523072,24853,4242
875144289856114688,21625,4871
875097192612077568,27058,5979
875021211251597312,25132,4667
874680097055178752,27464,4597
874434818259525634,0,14587
874296783580663808,25731,4069
874057562936811520,22365,3918
874012996292530176,34168,10322
873580283840344065,23912,3910
873337748698140672,0,1575
873213775632977920,7145,1575
872967104147763200,27050,5367
872820683541237760,14549,3668
872620804844003328,20572,3671
872486979161796608,40243,8961
872261713294495745,33846,6280
872122724285648897,34084,8081
871879754684805121,37622,11117
871762521631449091,20080,3459
871515927908634625,20029,3438
871166179821445120,0,5682
871102520638267392,20753,5486
871032628920680449,22480,3807
870804317367881728,33339,6188
870726314365509632,119,3
870656317836468226,12324,2640
870374049280663552,82144,26188
870308999962521604,21695,4150
870063196459192321,36441,8346
869772420881756160,42171,10038
869702957897576449,28090,6355
869596645499047938,15897,3137
869227993411051520,20338,3793
868880397819494401,65373,14528
868639477480148993,0,2104
868622495443632128,26736,5396
868552278524837888,10104,2104
867900495410671616,24128,4201
867774946302451713,33943,7373
867421006826221569,16093,2524
867072653475098625,0,121
867051520902168576,32214,7920
866720684873056260,20070,4850
866686824827068416,19336,3515
866450705531457537,122309,35571
866334964761202691,52622,14587
866094527597207552,0,8453
865718153858494464,25669,5672
865359393868664832,26532,5055
865006731092295680,28080,7768
864873206498414592,32383,8803
864279568663928832,14677,3074
864197398364647424,30276,9055
863907417377173506,20707,4201
863553081350529029,15372,4233
863471782782697472,0,2488
863432100342583297,23938,5339
863427515083354112,2278,98
863079547188785154,8813,1118
863062471531167744,8574,2488
862831371563274240,19275,5169
862722525377298433,17165,3582
862457590147678208,20678,5039
862096992088072192,75009,23691
861383897657036800,36340,10891
861288531465048066,17326,4231
861005113778896900,16838,3870
860981674716409858,0,2198
860924035999428608,0,838
860563773140209665,7573,2198
860524505164394496,23839,5384
860276583193509888,18468,3547
860184849394610176,16849,5960
860177593139703809,0,31532
859924526012018688,19742,4186
859851578198683649,15556,3587
859607811541651456,18785,1608
859196978902773760,90870,30923
859074603037188101,34278,13932
858860390427611136,0,8346
858843525470990336,15719,3559
858471635011153920,21767,4970
858107933456039936,15921,2991
857989990357356544,16338,2648
857746408056729600,34744,10932
857393404942143489,5992,1690
857263160327368704,20294,4653
857214891891077121,232,18
857062103051644929,0,177
857029823797047296,19230,4121
856602993587888130,0,11021
856543823941562368,16519,2969
856526610513747968,12027,1940
856330835276025856,0,701
856288084350160898,527,17
856282028240666624,28195,6523
855862651834028034,352,28
855860136149123072,5126,1063
855857698524602368,12062,2184
855851453814013952,46247,18307
855818117272018944,27094,5616
855459453768019968,30528,8506
855245323840757760,0,6201
855138241867124737,0,47
854732716440526848,23328,6349
854482394044301312,29967,7137
854365224396361728,19333,4878
854120357044912130,32713,7802
854010172552949760,16591,3289
853760880890318849,29291,6052
853639147608842240,35743,10584
853299958564483072,15936,3732
852936405516943360,0,2103
852912242202992640,9303,1922
852672615818899456,15334,2258
852553447878664193,16828,3685
852311364735569921,34068,10364
852226086759018497,20585,7130
852189679701164033,11801,1665
851953902622658560,0,10120
851861385021730816,0,23
851591660324737024,16703,3646
851464819735769094,25036,7432
851224888060895234,21345,6013
850753642995093505,32037,9774
850380195714523136,13493,2756
850333567704068097,3544,352
850145622816686080,16871,4035
850019790995546112,21149,5165
849776966551130114,31519,8020
849668094696017920,0,5237
849412302885593088,16433,3317
849336543269576704,11823,1993
849051919805034497,44008,9002
848690551926992896,26121,4566
848324959059550208,25671,4866
848213670039564288,8470,788
848212111729840128,16935,3253
847978865427394560,0,3449
847971574464610304,0,454
847962785489326080,24408,5403
847842811428974592,5689,1422
847617282490613760,7277,450
847606175596138505,19501,3598
847251039262605312,21259,4557
847157206088847362,20744,6212
847116187444137987,22271,3396
846874817362120707,20894,4170
846514051647705089,46466,12325
846505985330044928,14689,3284
846153765933735936,32997,9636
846139713627017216,32144,10491
846042936437604353,16649,3077
845812042753855489,30530,9306
845677943972139009,26163,5087
845397057150107648,7958,1926
845306882940190720,24306,5739
845098359547420673,0,8162
844979544864018432,14214,2752
844973813909606400,15768,3423
844704788403113984,40409,11021
844580511645339650,17194,3351
844223788422217728,14229,2343
843981021012017153,15795,3119
843856843873095681,22343,4937
843604394117681152,17642,2943
843235543001513987,22461,6458
842846295480000512,15903,3841
842765311967449089,7055,1360
842535590457499648,18922,3743
842163532590374912,25608,6201
842115215311396866,14651,3239
841833993020538882,0,16406
841680585030541313,26830,8293
841439858740625411,13220,3926
841320156043304961,20670,5811
841314665196081154,16570,5023
841077006473256960,23969,5682
840761248237133825,0,1877
840728873075638272,0,17346
840698636975636481,187,2
840696689258311684,12881,1048
840632337062862849,9406,1877
840370681858686976,17255,4881
840268004936019968,20206,6146
839990271299457024,14081,2463
839549326359670784,28884,8346
839290600511926273,0,154
839239871831150596,28562,7020
838952994649550848,20594,4264
838921590096166913,11726,2231
838916489579200512,0,36
838831947270979586,0,11879
838561493054533637,11462,1423
838476387338051585,23736,5175
838201503651401729,0,10844
838150277551247360,1767,354
838085839343206401,149,0
838083903487373313,18531,3390
837820167694528512,35934,8453
837482249356513284,4032,476
837471256429613056,13452,2467
837366284874571778,22216,5697
837110210464448512,16845,2576
836989968035819520,13388,2472
836753516572119041,20222,4971
836677758902222849,13263,2392
836648853927522308,0,591
836397794269200385,0,29761
836380477523124226,15488,3186
836260088725786625,22377,4625
836001077879255040,20119,4626
835685285446955009,0,8793
835574547218894849,18732,3906
835536468978302976,0,1837
835309094223372289,0,22672
835297930240217089,17288,3229
835264098648616962,8161,1837
835246439529840640,2200,78
835172783151792128,27526,6191
835152434251116546,23649,3253
834931633769889797,11421,1783
834786237630337024,22292,5912
834574053763584002,14430,2739
834477809192075265,0,11527
834458053273591808,10141,1810
834209720923721728,21724,5168
834167344700198914,16611,3927
834089966724603904,10584,2291
834086379323871233,13779,2399
833863086058651648,14131,2599
833826103416520705,18936,4037
833732339549220864,0,233
833722901757046785,21831,3469
833479644947025920,15677,2232
833124694597443584,21289,5237
832998151111966721,14029,2395
832769181346996225,0,40
832757312314028032,17756,3921
832682457690300417,12533,3175
832645525019123713,3084,563
832636094638288896,16748,3031
832397543355072512,12608,2405
832369877331693569,18113,3449
832273440279240704,11938,2524
832215909146226688,0,6700
832215726631055365,0,10165
832088576586297345,70,2
832040443403784192,0,10521
832032802820481025,18829,5027
831939777352105988,25353,6640
831926988323639298,361,35
831911600680497154,29218,7058
831670449226514432,11033,1963
831650051525054464,7583,2103
831552930092285952,9516,2485
831322785565769729,9714,1652
831315979191906304,6897,1210
831309418084069378,12393,2641
831262627380748289,12587,2225
830956169170665475,8428,1621
830583320585068544,70756,18251
830173239259324417,0,6189
830097400375152640,10388,3258
829878982036299777,0,5440
829861396166877184,12933,2124
829501995190984704,33581,11527
829449946868879360,11069,2204
829374341691346946,36627,10120
829141528400556032,25935,8050
829011960981237760,56113,17615
828801551087042563,0,3694
828770345708580865,27073,6371
828708714936930305,38770,12200
828650029636317184,10058,1463
828409743546925057,6662,1249
828408677031882754,8099,1393
828381636999917570,13378,2416
828376505180889089,7819,1154
828372645993398273,13270,3197
828361771580813312,2322,184
828046555563323392,12458,3108
828011680017821696,10984,2335
827933404142436356,21346,5679
827653905312006145,16346,3267
827600520311402496,7850,1030
827324948884643840,16816,3333
827199976799354881,11210,2439
826958653328592898,22881,5440
826848821049180160,38680,11122
826615380357632002,0,4299
826598799820865537,5429,277
826598365270007810,10697,2555
826476773533745153,19543,4562
826240494070030336,14084,2814
826204788643753985,5175,1015
826115272272650244,16630,3416
825876512159186944,11106,2036
825829644528148480,13525,2710
825535076884762624,55297,18727
825147591692263424,19435,4985
825120256414846976,0,1396
825026590719483904,6741,1396
824796380199809024,0,5990
824775126675836928,15911,3839
824663926340194305,10698,1893
824325613288833024,12519,11315
824297048279236611,15998,4217
824025158776213504,5076,645
823939628516474880,11316,2958
823719002937630720,0,12255
823699002998870016,13376,2640
823581115634085888,13860,2884
823333489516937216,741,28
823322678127919110,16744,4385
823269594223824897,0,10753
822975315408461824,18394,3755
822872901745569793,140843,47880
822859134160621569,14066,2493
822647212903690241,0,7006
822610361945911296,15714,3239
822489057087389700,19323,7006
822462944365645825,30326,16014
822244816520155136,37282,10753
822163064745328640,0,5255
821886076407029760,12091,2558
821813639212650496,0,3650
821765923262631936,8972,1819
821522889702862852,8543,1934
821421320206483457,0,6122
821407182352777218,12544,4757
821153421864615936,270,10
821149554670182400,9292,2201
821107785811234820,10219,2328
821044531881721856,13505,2505
820837357901512704,0,7331
820749716845686786,33628,10844
820690176645140481,13007,3531
820494788566847489,0,620
820446719150292993,0,2828
820314633777061888,3554,620
820078625395449857,21139,6881
820013781606658049,0,1299
819952236453363712,5672,1299
819924195358416896,13720,5296
819711362133872643,14365,3435
819588359383371776,10198,2152
819347104292290561,7706,1323
819238181065359361,2431,442
819227688460238848,24629,7331
819015337530290176,0,40177
819015331746349057,0,20712
819006400881917954,48174,20712
819004803107983360,92205,40177
818646164899774465,0,22853
818627210458333184,23678,8153
818614493328580609,10539,2832
818588835076603904,0,6729
818536468981415936,11648,2715
818307523543449600,0,8902
818259473185828864,11780,2509
818145370475810820,13121,2844
817908911860748288,5168,866
817827839487737858,55394,29761
817777686764523521,11428,2931
817536400337801217,12612,3327
817502432452313088,0,3715
817423860136083457,36549,16406
817415592588222464,5995,1057
817181837579653120,0,9328
817171292965273600,9319,2206
817120970343411712,13004,2878
817056546584727552,9158,1815
816829038950027264,0,5179
816816676327063552,10686,2233
816697700272001025,10483,2427
816450570814898180,32691,8902
816336735214911488,9184,2146
816091915477250048,9542,2365
816062466425819140,0,1142
816014286006976512,0,5833
815990720817401858,5343,1142
815966073409433600,23998,9328
815745968457060357,0,4546
815736392542261248,10529,2499
815639385530101762,8790,1808
815390420867969024,11075,4180
814986499976527872,8169,1422
814638523311648768,12062,2972
814578408554463233,0,6373
814530161257443328,9277,2035
814153002265309185,30792,9549
813944609378369540,0,3514
813910438903693312,9943,2068
813812741911748608,38902,15387
813800681631023104,8934,1929
813217897535406080,20008,8019
813202720496779264,9830,1974
813187593374461952,21233,4801
813172488309972993,9990,2103
813157409116065792,8303,2440
813142292504645637,9017,2594
813130366689148928,4780,488
813127251579564032,12695,3441
813112105746448384,11057,3027
813096984823349248,11269,3966
813081950185472002,10572,3045
813066809284972545,8525,2142
813051746834595840,22457,8062
812781120811126785,8113,2100
812747805718642688,0,7621
812709060537683968,7104,1572
812503143955202048,6512,1348
812466873996607488,8562,2118
812372279581671427,14687,4031
811985624773361665,7783,1546
811744202451197953,8086,1773
811647686436880384,5979,818
811627233043480576,13706,3443
811386762094317568,22395,7034
810984652412424192,5716,1578
810896069567610880,9701,1968
810657578271330305,11754,2913
810284430598270976,38006,12555
810254108431155201,15748,3694
809920764300447744,16614,4299
809808892968534016,0,5399
809448704142938112,7428,1616
809220051211603969,21378,6189
809084759137812480,14184,3858
808838249661788160,10839,3349
808733504066486276,8487,2390
808501579447930884,12107,2866
808344865868283904,45585,22853
808134635716833280,0,6558
808106460588765185,9353,2415
808001312164028416,13491,3894
807621403335917568,15634,4056
807106840509214720,127430,61184
807059379405148160,0,8079
807010152071229440,13991,4214
806629075125202948,80624,38387
806620845233815552,0,6084
806576416489959424,5201,2116
806542213899489280,10963,2609
806242860592926720,0,12877
806219024703037440,6893,1317
805958939288408065,0,5924
805932879469572096,8883,2109
805826884734976000,7070,2016
805823200554876929,0,8862
805520635690676224,6150,1818
805487436403003392,9412,2794
805207613751304193,8378,1879
804738756058218496,14743,4242
804475857670639616,6600,2215
804413760345620481,0,3550
804026241225523202,47915,17874
803773340896923648,10781,3052
803692223237865472,0,8187
803638050916102144,11793,4558
803380650405482500,8317,2047
803321560782307329,0,5864
803276597545603072,10767,2723
802952499103731712,9699,2215
802624713319034886,0,3227
802600418706604034,7647,1625
802572683846291456,9602,2756
802323869084381190,17463,6435
802265048156610565,7087,1503
802239329049477120,9753,2871
802185808107208704,0,293
801958328846974976,8291,1884
801854953262350336,1888,258
801538201127157760,8818,2269
801285448605831168,6512,919
801167903437357056,26337,6558
801127390143516673,0,4385
801115127852503040,8686,2306
800859414831898624,742,107
800855607700029440,0,1798
800751577355128832,11278,3060
800513324630806528,14120,3316
800459316964663297,10166,2387
800443802682937345,0,4760
800388270626521089,11979,3097
800188575492947969,0,4346
800141422401830912,16442,2828
800018252395122689,30514,14526
799774291445383169,0,5167
799757965289017345,9039,2389
799422933579902976,8646,2113
799308762079035393,0,6100
799297110730567681,10657,3060
799063482566066176,8702,2723
798933969379225600,14150,4945
798925684722855936,7999,1586
798705661114773508,0,7285
798701998996647937,0,8605
798697898615730177,0,7184
798694562394996736,0,5472
798686750113755136,0,2568
798682547630837760,0,5209
798673117451325440,0,6116
798665375516884993,0,4288
798644042770751489,0,2039
798628517273620480,0,2166
798585098161549313,0,6292
798576900688019456,0,6471
798340744599797760,0,3711
798209839306514432,11157,2829
797971864723324932,12522,3463
797545162159308800,15588,5362
797236660651966464,21488,7317
797165961484890113,248,29
796904159865868288,0,9803
796865951799083009,8253,2100
796759840936919040,12772,3373
796563435802726400,0,8052
796484825502875648,8151,1946
796387464403357696,11837,4595
796177847564038144,0,15799
796149749086875649,34802,15799
796125600683540480,5311,1968
796116448414461957,9778,2674
796080075804475393,9091,2565
796031486298386433,11614,4065
795464331001561088,53568,26292
795400264262053889,10867,3165
795076730285391872,17447,5990
794983741416415232,0,3715
794926597468000259,11063,2551
794355576146903043,0,11348
794332329137291264,10293,2921
794205286408003585,9881,3651
793962221541933056,18099,5399
793845145112371200,9890,2068
793614319594401792,0,3439
793601777308463104,8573,1806
793500921481273345,11503,2626
793286476301799424,26471,10165
793271401113350145,9302,2612
793256262322548741,21501,9195
793241302385262592,11305,3614
793226087023144960,10593,3155
793210959003287553,9614,3107
793195938047070209,16418,6202
793180763617361921,7441,2193
793165685325201412,10119,3070
793150605191548928,6634,1882
793135492858580992,6958,2757
793120401413079041,13655,4315
792913359805018113,15418,4432
792883833364439040,12167,4715
792773781206999040,7895,1855
792394556390137856,14471,4730
792050063153438720,7722,1982
791821351946420224,0,23186
791784077045166082,0,10629
791780927877898241,0,4195
791774931465953280,48541,24488
791672322847637504,12642,3439
791406955684368384,14107,4546
791312159183634433,9445,2806
791026214425268224,0,4539
790987426131050500,10637,2359
790946055508652032,17857,5179
790723298204217344,0,2557
790698755171364864,8803,2102
790581949425475584,22221,7917
790337589677002753,8407,2059
790277117346975746,13473,3514
790227638568808452,0,3935
